size,rank,NX,omp_threads,setup_time,comm_time,comp_time
16,0,10000,16,0.262967,8.563846,4.670613
16,0,10000,1,0.244189,10.568007,59.593899
16,0,10000,2,0.230017,9.992358,30.270747
16,0,10000,32,0.219866,6.419176,4.435258
16,0,10000,4,0.227683,9.589419,15.533959
16,0,10000,8,0.228029,9.177684,8.137837
16,0,1000,16,0.223269,0.084404,0.043825
16,0,1000,1,0.188719,0.275736,0.584772
16,0,1000,2,0.199457,0.233289,0.294263
16,0,1000,32,0.197179,0.079805,0.029836
16,0,1000,4,0.221797,0.177238,0.150262
16,0,1000,8,0.203173,0.173203,0.077667
16,10,10000,16,0.262647,8.938842,4.295591
16,10,10000,1,0.243993,10.079205,60.083402
16,10,10000,2,0.229096,9.678311,30.585675
16,10,10000,32,0.219563,6.701979,4.152488
16,10,10000,4,0.228133,9.644278,15.479398
16,10,10000,8,0.227723,9.431564,7.884087
16,10,1000,16,0.222891,0.078057,0.050212
16,10,1000,1,0.188481,0.263329,0.597166
16,10,1000,2,0.199199,0.218333,0.309171
16,10,1000,32,0.197014,0.076998,0.032653
16,10,1000,4,0.221385,0.164519,0.163026
16,10,1000,8,0.202979,0.162369,0.088514
16,11,10000,16,0.262749,8.995467,4.238871
16,11,10000,1,0.243951,10.702206,59.460081
16,11,10000,2,0.229837,10.241882,30.021770
16,11,10000,32,0.219459,6.723501,4.131203
16,11,10000,4,0.228055,9.975216,15.148252
16,11,10000,8,0.227650,9.600298,7.715238
16,11,1000,16,0.222830,0.077793,0.050489
16,11,1000,1,0.186874,0.258481,0.602007
16,11,1000,2,0.199126,0.214712,0.312770
16,11,1000,32,0.197022,0.075196,0.034450
16,11,1000,4,0.221289,0.161485,0.166146
16,11,1000,8,0.202988,0.160708,0.090190
16,12,10000,16,0.262843,8.982702,4.251699
16,12,10000,1,0.243909,10.659599,59.502728
16,12,10000,2,0.229011,10.304714,29.959100
16,12,10000,32,0.219505,6.686412,4.168180
16,12,10000,4,0.228145,9.974366,15.149127
16,12,10000,8,0.227726,9.582553,7.733025
16,12,1000,16,0.222938,0.078784,0.049459
16,12,1000,1,0.188444,0.254649,0.605840
16,12,1000,2,0.199016,0.213624,0.313889
